Item;Departamento;Código Divipola Departamento;Municipio;Código Divipola Municipio;Programa;Año de Asignación;Estado de Postulación;Hogares;Valor Asignado
1;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Ahorro;2,022;Asignados;1;6,000,000
2;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Arriendo;2,022;Asignados;2;30,689,280
3;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Arriendo;2,022;Asignados;2;30,689,280
4;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Arriendo;2,022;Asignados;1;15,344,640
5;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Arriendo;2,022;Asignados;1;15,344,640
6;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Arriendo;2,022;Asignados;1;15,344,640
7;ANTIOQUIA;5;AMAGA;30;Semillero de Propietarios Arriendo;2,022;Asignados;1;13,940,988
8;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;14;254,387,280
9;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;3;70,000,000
10;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;3;60,000,000
11;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;2;50,000,000
12;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;2;40,000,000
13;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;2;40,000,000
14;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;2;40,000,000
15;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;2;40,000,000
16;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;30,000,000
17;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;30,000,000
18;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;30,000,000
19;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;30,000,000
20;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;30,000,000
21;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
22;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
23;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
24;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
25;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
26;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
27;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
28;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
29;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
30;ANTIOQUIA;5;ANDES;34;MI CASA YA;2,022;Asignados;1;20,000,000
31;ANTIOQUIA;5;ANDES;34;Semillero de Propietarios Ahorro;2,022;Asignados;3;18,000,000
